label,face_length,forehead_width,cheekbone_width,jawline_width,top_jaw_distance,forehead_distance,chin_distance,face_rectangularity,middle_face_rectangularity,forehead_rectangularity,chin_angle,RBot,RTop,RTop_RBot_diff,fAR,left_cheek_distance,right_cheek_distance,right_cheek_angle,left_cheek_angle
Heart,0.4695364544681057,0.3404575501486757,0.4730817011046032,0.8114666552450323,0.13685318690356804,0.3931244129852704,0.3663976516841475,1.007590768805177,0.4386491840219834,0.00606439443522926,43.89715240292152,0.7744912788396634,0.7196590976859556,-0.054832181153707804,1.0075505247840948,0.3158421662229347,0.3228329451969119,20.240420525625378,23.47919054716573
Heart,0.4154105029183574,0.324187777790158,0.43221161435148325,0.6776283053493991,0.12207289834633818,0.3677576688014284,0.34345202131325225,1.0035694157644912,0.3777313052068577,0.0033151572702737582,38.91875540492354,0.7946385749688579,0.7500672518404883,-0.044571323128369644,1.0404445995349036,0.2983261339942752,0.2927586496297909,20.452494921028926,20.992959203469464
Heart,0.5255646805597781,0.3770373127538299,0.5111769952728135,0.8853606074553166,0.14479747945787763,0.42857360094689945,0.37328359966387986,1.0039896380702096,0.39527092834275807,0.004061618869054669,43.59052318314887,0.7302433464648769,0.7375866211518505,0.0073432746869736,0.9726243299461441,0.3448293608139373,0.34907344462634066,21.720900070475878,23.01073284284032
Heart,0.5174407009470472,0.3276044215468853,0.45406258065112104,0.8057382527229596,0.1316908144288707,0.3686312530810789,0.3546458236980408,1.0128229492765508,0.4427845840078157,0.008532306922709882,43.69455065683586,0.7810505397504511,0.7214961890872046,-0.05955435066324655,0.8775161672053857,0.3091176626367548,0.3113578472153605,21.982066412069813,20.933648020739355
Heart,0.4568047239374866,0.3511186874161899,0.4891708500410799,0.7697960043769111,0.14573962261239476,0.4080673038666668,0.38877730545422695,1.0082120366785394,0.4270164993018464,0.0059441528476771276,39.96768973653466,0.7947679331701346,0.717783341723456,-0.07698459144667857,1.070853308662418,0.3261564273509435,0.33147577073470075,18.72976479029281,21.312717802549056
Heart,0.4472853097104093,0.32594952903316393,0.46471829251283214,0.7776654027172332,0.1157846462555347,0.37502902474166355,0.3605422733161129,1.0,0.3739805754216358,0.0008559826029229308,40.21045384918232,0.7758297427169973,0.7013916479824465,-0.07443809473455087,1.038975084636045,0.30578498752114663,0.3038896646223384,20.76569789890371,21.30820257826382
Heart,0.4944939153349807,0.37509369370948575,0.5165113455382601,0.8512359397211415,0.143484316642409,0.4362803020417514,0.40992084468727125,1.0049317671749882,0.3926186406570469,0.004374942160033895,40.951980516603705,0.7936337666699071,0.7262061074739762,-0.06742765919593097,1.0445251792195749,0.3571378990198826,0.35974326685303476,21.5201917778695,22.463591900881973
Heart,0.5652892614169054,0.4195990354299563,0.5715878722537877,0.9307138291869475,0.17709889749471963,0.48748743618587,0.44902167569588536,1.0032657620836898,0.39090999268297855,0.0032946584891992434,41.04529773264454,0.7855689343536625,0.7340936639811216,-0.05147527037254085,1.0111422793015645,0.391670663911732,0.3865215079133524,22.060033491551263,21.2038389732821
Heart,0.4930774236800067,0.3582759354551692,0.47396737304801684,0.7642257372173132,0.14336631617586665,0.41450711813339414,0.3632367528233503,1.0000070117098503,0.3655562138772026,0.0014206938888850832,41.62806245704763,0.7663750154096606,0.7559084355345972,-0.010466579875063386,0.9612433063972693,0.3292455536067435,0.3269036487417707,24.319122456850007,22.743223024100782
Heart,0.424733124296104,0.3772680993754575,0.5158297398361417,0.7943200946617044,0.13642063208880817,0.4238843944616227,0.39782067485015743,1.0008372660112506,0.3810309183652802,0.0020705928573152214,37.48676681049701,0.7712247746253038,0.731381055104152,-0.039843719521151844,1.2144796587057085,0.35357383362820544,0.3387200017783213,22.260369232587287,20.48058960957121
